,※入力規則,"キャスト名の姓名の間には半角スペースを入れてください

※キャスト名の欄がピンク色にハイライトされた場合、どこかの行とキャスト名が重複しているため、新たにIDを割り当てずに既存のIDを利用してください","命名ルール：cast_image_{id}.png
※ sFTPでのS3へのアップロード

セルには{フォルダ}/{フォルダ}/{フォルダ}/{ファイル名}のように記載
※コンテンツ素材の前は、public/としてください",芸人さんはコンビ名、アイドルはグループ名を入力用_所属グループマスタのIDで指定。,,ID指定（声優、俳優、監督、スタッフなどをマスタ管理）
,id,キャスト名,キャスト画像,所属グループ,ジャンル,役割
,id,name,image,group,,
,475,唯野 あかり,,,anime,声優
,476,立木 文彦,,,anime,声優
,477,國府 咲月,,,anime,声優
,478,三瓶 由布子,,,anime,声優
,479,永野 愛,,,anime,声優
,480,前田 愛,,,anime,声優
,481,樹元 オリエ,,,anime,声優
,482,榎本 温子,,,anime,声優
,483,岡村 明美,,,anime,声優
,484,草尾 毅,,,anime,声優
,485,入野 自由,,,anime,声優
,486,城 雅子,,,anime,声優
,487,仙台 エリ,,,anime,声優
,488,本名 陽子,,,anime,声優
,489,矢島 晶子,,,anime,声優
,490,池澤 春菜,,,anime,声優
,491,高橋 直純,,,anime,声優
,492,藤田 美歌子,,,anime,声優
,493,徳光 由禾,,,anime,声優
,494,岸尾 大輔,,,anime,声優
,495,松谷 彼哉,,,anime,声優
,496,木内 レイコ,,,anime,声優
,497,小村 将,,,anime,声優
,498,島田 愛野,,,anime,声優
,499,中村 カンナ,,,anime,声優
,500,髙木 裕平,,,anime,声優
,501,仲村 宗悟,,,anime,声優
,502,甲斐田 ゆき,,,anime,声優
,503,山寺 宏一,,,anime,声優
,504,田所 あずさ,,,anime,声優
,505,種田 梨沙,,,anime,声優
,506,広橋 涼,,,anime,声優
,507,小野塚 貴志,,,anime,声優
,508,佐藤 拓也,,,anime,声優
,509,佐々 健太,,,anime,声優
,510,梶原 岳人,,,anime,声優
,511,96猫,,,anime,声優
,512,林 勇,,,anime,声優
,513,寺島 惇太,,,anime,声優
,514,豊永 利行,,,anime,声優
,515,志麻,,,anime,声優
,516,矢野 奨吾,,,anime,声優
,517,日原 あゆみ,,,anime,声優
,518,川口 莉奈,,,anime,声優
,519,小玉 ひかり,,,anime,声優
,520,貫井 柚佳,,,anime,声優
,521,塙 有咲,,,anime,声優
,522,松岡 侑李,,,anime,声優
,523,蘭笛,,,anime,声優
,524,吉木 悠佳,,,anime,声優
,525,夏目 妃菜,,,anime,声優
,526,南雲 希美,,,anime,声優
,527,月乃,,,anime,声優
,528,荒井 瑠里,,,anime,声優
,529,古畑 奈和,,,anime,声優
,530,北原 侑奈,,,anime,声優
,531,御苑生 メイ,,,anime,声優
,532,舌純,,,anime,声優
,533,緒方 恵美,,,anime,声優
,534,佐藤 未奈子,,,anime,声優
,535,小林 大紀,,,anime,声優
,536,吉田 有里,,,anime,声優
,537,森永 千才,,,anime,声優
,538,金澤 まい,,,anime,声優
,539,久住 琳,,,anime,声優
,540,高柳 知葉,,,anime,声優
,541,小泉 萌香,,,anime,声優
,542,北川 菜月,,,anime,声優
,543,木島 隆一,,,anime,声優
,544,和田 将弥,,,anime,声優
,545,新 祐樹,,,anime,声優
,546,福西 勝也,,,anime,声優
,547,狩野 翔,,,anime,声優
,548,中村 繪里子,,,anime,声優
,549,長谷川 明子,,,anime,声優
,550,今井 麻美,,,anime,声優
,551,仁後 真耶子,,,anime,声優
,552,浅倉 杏美,,,anime,声優
,553,平田 宏美,,,anime,声優
,554,下田 麻美,,,anime,声優
,555,たかはし 智秋,,,anime,声優
,556,原 由実,,,anime,声優
,557,若林 直美,,,anime,声優
,558,滝田 樹里,,,anime,声優
,559,山崎 はるか,,,anime,声優
,560,郁原 ゆう,,,anime,声優
,561,平山 笑美,,,anime,声優
,562,田村 奈央,,,anime,声優
,563,香里 有佐,,,anime,声優
,564,大関 英里,,,anime,声優
,565,角元 明日香,,,anime,声優
,566,南 早紀,,,anime,声優
,567,近藤 唯,,,anime,声優
,568,大神 環,,,anime,声優
,569,神尾 晋一郎,,,anime,声優
,570,緑川 光,,,anime,声優
,571,駒田 航,,,anime,声優
,572,速水 奨,,,anime,声優
,573,黒田 崇矢,,,anime,声優
,574,土屋 李央,,,anime,声優
,575,冨樫 かずみ,,,anime,声優
,576,牧野 由依,,,anime,声優
,577,深川 芹亜,,,anime,声優
,578,永牟田 萌,,,anime,声優
,579,青木 志貴,,,anime,声優
,580,高森 奈津美,,,anime,声優
,581,船戸 ゆり絵,,,anime,声優
,582,鈴村 健一,,,anime,声優
,583,阿部 菜摘子,,,anime,声優
,584,岸尾 だいすけ,,,anime,声優
,585,加藤 和樹,,,anime,声優
,586,上村 祐翔,,,anime,声優
,587,柿原 徹也,,,anime,声優
,588,森久保 祥太郎,,,anime,声優
,589,原 紗友里,,,anime,声優
,590,日野 未歩,,,anime,声優
,591,岩中 睦樹,,,anime,声優
,592,酒井 広大,,,anime,声優
,593,木内 太郎,,,anime,声優
,594,竹内 絢子,,,anime,声優
,595,小原 悠輝,,,anime,声優
,596,中西 南央,,,anime,声優
,597,金子 誠,,,anime,声優
,598,生田 鷹司,,,anime,声優
,599,伊瀬 結陸,,,anime,声優
